transaction_id,account_number,transaction_type,transaction_amount,account_holder_country,purchase_country,credit_card_type,card_balance,card_limit,account_holder_income
44,165725,purchase,2404.43,USA,Canada,mastercard,6481.91,10212.55,20164.65
45,229981,online_payment,2352.02,Canada,Mexico,mastercard,3024.7,4902.42,20180.12
46,184654,online_payment,46.94,Canada,Canada,mastercard,591.99,1146.51,46807.1
47,691723,online_payment,53.16,Canada,Canada,amex,634.9,1388.11,38093.78
48,419030,cash_withdrawal,61.73,USA,USA,amex,769.09,4007.66,40550.45
49,428947,purchase,18.43,Mexico,Mexico,visa,1191.24,4631.27,69867.72
50,655839,cash_withdrawal,41.04,USA,USA,amex,1176.16,4265.32,42316.9
51,373538,cash_withdrawal,32.02,Canada,Canada,mastercard,830.61,5307.53,42123.41
52,431236,cash_withdrawal,48.93,USA,USA,amex,821.48,5071.49,44504.55
53,628178,cash_withdrawal,35.33,Canada,Canada,amex,1023.02,5009.91,52751.81
54,665894,online_payment,65.48,USA,USA,amex,1047.39,5050.7,42017.87
55,589492,purchase,35.27,Mexico,Mexico,mastercard,892.04,2694.56,30891.05
56,356840,purchase,55.79,Canada,Canada,mastercard,1056.97,3796.83,49014.07
57,573254,cash_withdrawal,27.61,Canada,Canada,visa,1105.97,3067.96,55542.7
58,449457,cash_withdrawal,57.81,Canada,Canada,amex,1115.49,3737.32,47992.9
59,765987,online_payment,41.62,Mexico,Mexico,mastercard,1093.19,5787.78,64632.05
60,370936,cash_withdrawal,25.02,Canada,Canada,mastercard,1336.3,3522.27,59715.33
61,339931,cash_withdrawal,80.23,Mexico,Mexico,visa,1328.57,2264.58,48070.21
62,339629,online_payment,40.94,USA,USA,visa,1420.47,3381.39,34916.27
63,305041,online_payment,29.37,Mexico,Mexico,visa,1332.25,4547.08,71529.32
64,798361,cash_withdrawal,75.38,Canada,Canada,mastercard,1527.12,3744.0,61618.74
65,831912,purchase,46.49,USA,USA,amex,1079.68,5557.54,45117.41
66,517113,online_payment,54.73,Canada,Canada,visa,578.67,4210.08,63649.86
67,168148,purchase,62.41,Canada,Canada,visa,676.16,5241.65,34776.25
68,877089,cash_withdrawal,1520.56,Canada,USA,amex,5011.67,7381.34,38997.2
69,748531,purchase,41.02,Canada,Canada,amex,922.78,5299.28,40907.83
70,351995,cash_withdrawal,96.56,Canada,Canada,visa,1017.64,2966.56,20267.52
71,778843,purchase,27.21,Canada,Canada,amex,1243.16,6057.69,64118.94
72,672843,cash_withdrawal,55.79,USA,USA,amex,993.63,3504.3,51216.48
73,356508,purchase,58.18,Canada,Canada,visa,1046.39,4457.27,57417.84
74,903591,purchase,21.74,Canada,Canada,mastercard,1196.79,1748.54,45000.28
75,996942,cash_withdrawal,1996.59,Mexico,Mexico,visa,5265.33,5837.49,38681.48
76,206530,purchase,1.0,USA,USA,mastercard,988.52,3768.21,46611.05
77,704365,cash_withdrawal,50.48,Mexico,Mexico,mastercard,1174.82,3300.32,22916.48
78,922352,cash_withdrawal,75.02,USA,USA,mastercard,972.48,5731.2,45457.32
79,560337,purchase,1777.49,USA,Canada,mastercard,6947.35,8374.66,19124.32
80,824839,purchase,12.01,USA,USA,visa,862.42,3744.07,44062.54
81,905889,cash_withdrawal,24.82,USA,USA,mastercard,943.21,3933.26,33591.57
82,559773,online_payment,46.78,Mexico,Mexico,mastercard,648.17,2279.35,69571.62
83,308261,cash_withdrawal,47.82,Mexico,Mexico,mastercard,1363.35,5444.13,47290.44
84,864469,online_payment,70.64,USA,USA,amex,619.66,3500.72,34398.44
85,441097,purchase,49.55,USA,USA,mastercard,572.29,4258.98,45569.27
86,415139,cash_withdrawal,66.64,Mexico,Mexico,visa,1032.03,5835.25,14904.6
87,271829,purchase,1.0,USA,USA,visa,994.55,5018.36,67963.98
88,371836,purchase,2103.05,Canada,USA,amex,9512.0,14238.38,18690.5
89,538974,cash_withdrawal,75.87,Canada,Canada,mastercard,1346.79,5779.45,26958.77
90,302283,online_payment,560.42,USA,USA,amex,4395.73,8705.88,37892.91
91,296769,purchase,51.21,Canada,Canada,mastercard,1738.4,5134.74,38542.02
92,661353,purchase,62.14,Canada,Canada,amex,1235.81,4382.3,32762.31
93,323165,online_payment,72.2,Canada,Canada,amex,874.86,5048.87,53274.76
94,723587,cash_withdrawal,75.17,Canada,Canada,mastercard,1244.36,3445.31,21460.61
95,635822,online_payment,73.24,Canada,Canada,mastercard,1055.72,1732.65,61931.59
96,587879,online_payment,49.28,USA,USA,amex,797.19,1633.0,56889.31
97,664685,online_payment,47.26,Mexico,Mexico,visa,1078.63,2130.42,58449.03
98,882038,online_payment,52.5,Canada,Canada,amex,310.85,4414.57,48084.12
99,453531,cash_withdrawal,12.3,USA,USA,visa,873.78,2340.81,68413.69
100,363160,cash_withdrawal,6.36,Mexico,Mexico,amex,1639.37,4346.21,72315.48
101,679879,purchase,15.05,Mexico,Mexico,mastercard,1214.39,2266.56,27653.11
102,320884,online_payment,61.75,USA,USA,visa,651.43,3501.47,36129.27
103,123247,purchase,2561.51,Canada,China,amex,7677.04,11154.13,21036.67
104,124300,online_payment,37.86,Mexico,Mexico,mastercard,1441.03,3849.71,27155.74
105,567281,purchase,57.05,Canada,Canada,mastercard,1473.94,2219.74,53578.49
106,707086,online_payment,104.17,USA,USA,visa,1081.95,2166.98,19716.62
107,633556,cash_withdrawal,79.77,Canada,Canada,mastercard,581.01,1082.15,70109.99
108,448951,cash_withdrawal,1586.03,Mexico,Mexico,amex,2211.97,5447.92,32971.89
109,374329,purchase,38.23,Mexico,Mexico,visa,829.71,2071.97,42870.76
110,819064,online_payment,29.25,Canada,Canada,amex,1576.26,5076.17,50719.74
111,842139,online_payment,29.36,Canada,Canada,mastercard,1064.63,4378.92,13088.78
112,532315,purchase,17.51,USA,USA,amex,1362.48,3827.73,42870.15
113,616588,online_payment,2378.25,Mexico,Mexico,mastercard,5971.67,9549.58,29106.05
114,336584,purchase,84.7,Mexico,Mexico,visa,585.72,2036.37,43828.78
115,662332,online_payment,74.89,Mexico,Mexico,mastercard,977.9,3068.36,13343.88
116,937646,online_payment,27.52,USA,USA,visa,1525.1,4640.27,59551.64
117,476896,purchase,33.64,USA,USA,visa,863.01,4279.4,66576.13
118,148984,purchase,7.55,Canada,Canada,mastercard,503.65,3731.21,57242.73
119,402918,cash_withdrawal,84.21,Mexico,Mexico,amex,880.45,4600.1,54505.7
120,364712,purchase,41.41,Mexico,Mexico,visa,973.1,4155.97,30965.79
121,220151,purchase,1537.5,Canada,Germany,amex,3986.51,7049.85,34709.02
122,555808,online_payment,42.58,Mexico,Mexico,mastercard,1478.6,5067.45,71683.0
123,233767,online_payment,35.01,Mexico,Mexico,mastercard,1129.22,4453.53,55247.42
124,748663,online_payment,72.52,Canada,Canada,visa,952.69,4613.1,71761.74
125,803550,cash_withdrawal,1888.85,USA,USA,mastercard,6114.86,7384.99,57652.24
126,236330,online_payment,19.35,Mexico,Mexico,mastercard,1055.62,1935.38,59478.51
127,580754,purchase,29.76,USA,USA,mastercard,693.31,3789.41,69731.6
128,401648,online_payment,106.81,Canada,Canada,mastercard,786.12,1961.72,32153.62
129,788519,purchase,40.34,Canada,Canada,amex,1204.9,4300.45,36059.45
130,113986,cash_withdrawal,33.42,Canada,Canada,mastercard,1451.69,4678.47,60995.62
131,686146,online_payment,29.03,Canada,Canada,visa,1353.83,6025.64,62846.9
132,229312,online_payment,49.65,Mexico,Mexico,mastercard,818.48,2923.07,26843.93
133,112666,cash_withdrawal,83.65,Mexico,Mexico,mastercard,1185.54,1900.34,61789.61
134,400804,purchase,64.72,Canada,Canada,visa,289.76,2230.9,51604.08
135,234633,online_payment,1480.02,Canada,Australia,mastercard,3888.9,6320.37,23408.09
136,388998,online_payment,1867.18,Mexico,Mexico,mastercard,4106.29,5588.4,36188.02
137,950937,online_payment,34.72,Mexico,Mexico,amex,1223.26,2415.48,70520.67
138,728776,cash_withdrawal,32.23,USA,USA,mastercard,948.42,3424.68,76522.82
139,807611,purchase,35.34,Canada,Canada,visa,1187.64,4227.18,25927.94
140,384806,purchase,54.24,Canada,Canada,mastercard,1197.8,6065.24,36138.59
141,894824,purchase,89.0,Mexico,Mexico,amex,634.83,2771.94,47439.32
142,130535,cash_withdrawal,70.91,USA,USA,mastercard,999.13,4206.03,38032.67
143,475713,purchase,73.29,USA,USA,mastercard,1083.57,2010.59,51500.18
144,938688,online_payment,63.62,Canada,Canada,visa,1027.91,5254.39,63763.99
145,451279,online_payment,65.32,Canada,Canada,visa,975.13,5218.74,45188.8
146,921654,purchase,54.17,USA,USA,amex,1362.94,3357.28,22843.75
147,701661,cash_withdrawal,37.06,Mexico,Mexico,mastercard,1167.92,3967.41,28459.09
148,747972,cash_withdrawal,53.33,USA,USA,amex,921.03,5194.3,57374.41
149,589570,cash_withdrawal,56.36,USA,USA,amex,695.46,5273.66,46856.18
150,556551,cash_withdrawal,51.95,USA,USA,amex,944.24,4904.6,40312.39
151,373109,purchase,18.56,Canada,Canada,mastercard,1355.9,5000.6,62282.1
152,124538,online_payment,43.61,USA,USA,visa,914.45,1945.4,68052.33
153,994498,cash_withdrawal,1404.16,USA,UK,mastercard,4432.8,6700.4,39218.07
154,301664,online_payment,43.13,Mexico,Mexico,amex,1342.36,2804.11,57288.78
155,591234,cash_withdrawal,46.33,Mexico,Mexico,amex,918.21,5631.07,69970.74
156,999684,online_payment,57.24,USA,USA,amex,557.69,3326.12,44535.2
157,239182,cash_withdrawal,2452.2,Mexico,UK,amex,8028.5,11049.36,10000.0
158,572525,cash_withdrawal,3023.1,Canada,Australia,amex,6118.87,10354.16,16439.88
159,258338,purchase,94.72,Mexico,Mexico,visa,1425.38,3578.2,65779.01
160,284064,online_payment,2289.18,Mexico,Australia,amex,4562.64,5422.93,12946.29
161,314020,cash_withdrawal,38.48,Mexico,Mexico,mastercard,1020.97,5513.39,40394.18
162,723094,online_payment,50.54,USA,USA,mastercard,708.26,4479.82,56991.0
163,997421,online_payment,99.36,Canada,Canada,visa,1024.7,2803.43,42828.8
164,715270,online_payment,24.92,Canada,Canada,mastercard,518.81,4958.91,45554.42
165,745914,online_payment,1721.61,Mexico,India,mastercard,494.93,1349.56,28108.2
166,219176,purchase,46.1,USA,USA,mastercard,1376.79,6251.78,58402.27
167,318126,online_payment,1918.86,Mexico,Mexico,amex,3328.92,6067.0,63121.1
168,318969,cash_withdrawal,40.57,Mexico,Mexico,amex,600.92,2494.43,82609.1
169,222409,purchase,82.44,Canada,Canada,amex,1528.12,2207.8,50229.8
170,647707,online_payment,25.33,USA,USA,amex,1108.0,4560.73,46577.73
171,353618,purchase,38.59,Canada,Canada,mastercard,877.68,2712.63,58207.39
172,869598,purchase,18.62,Mexico,Mexico,amex,1155.05,5602.81,31084.66
173,150015,cash_withdrawal,60.64,Canada,Canada,amex,1291.71,4320.6,48306.0
174,872838,cash_withdrawal,1689.47,Mexico,Mexico,amex,5074.46,9596.97,38944.48
175,222096,cash_withdrawal,83.1,Mexico,Mexico,amex,1028.78,1963.92,63704.34
176,731347,cash_withdrawal,35.55,Mexico,Mexico,amex,895.04,2832.44,40331.71
177,285340,cash_withdrawal,27.23,Mexico,Mexico,mastercard,1298.07,2287.65,45691.91
178,210687,purchase,3.3,Canada,Canada,amex,1104.22,3066.15,56091.28
179,974371,cash_withdrawal,429.06,Canada,Australia,mastercard,3655.18,4628.67,29431.43
180,511357,cash_withdrawal,80.0,Canada,Canada,visa,1018.73,3872.93,55092.93
181,835716,purchase,31.54,Mexico,Mexico,mastercard,1196.47,2826.43,36213.47
182,205878,cash_withdrawal,64.09,Canada,Canada,visa,745.17,3454.37,52268.24
183,827270,cash_withdrawal,48.43,USA,USA,visa,744.37,2253.32,52327.21
184,298286,cash_withdrawal,57.64,USA,USA,amex,880.14,1427.69,49207.71
185,873290,purchase,59.53,Mexico,Mexico,amex,1109.54,4936.34,37184.68
186,874684,purchase,82.88,USA,USA,mastercard,1633.1,6203.19,40627.83
187,264899,purchase,79.21,Canada,Canada,visa,1368.92,2069.25,50289.27
188,424767,purchase,40.83,USA,USA,mastercard,1041.9,5418.41,50829.56
189,961882,purchase,104.46,Mexico,Mexico,visa,886.3,5209.55,84692.95
190,979858,online_payment,49.96,Mexico,Mexico,mastercard,704.4,4473.77,37166.37
191,479989,purchase,1.0,Mexico,Mexico,mastercard,970.77,2177.65,75807.45
192,515515,purchase,60.8,Canada,Canada,visa,478.98,1743.17,55077.1
193,143585,online_payment,61.71,USA,USA,amex,838.31,5173.99,34635.61
194,471369,online_payment,2944.64,USA,Brazil,visa,4667.72,9452.28,24194.51
195,164044,online_payment,47.81,Canada,Canada,visa,943.09,2812.32,60998.85
196,542296,cash_withdrawal,47.47,USA,USA,amex,698.33,3249.11,44494.66
197,209556,online_payment,2378.15,Mexico,Mexico,amex,2760.23,6540.43,19759.36
198,626981,cash_withdrawal,34.43,Canada,Canada,amex,1128.23,5970.72,22901.61
199,981691,online_payment,36.88,Canada,Canada,amex,1228.36,2574.58,27408.76
200,867595,online_payment,39.56,USA,USA,visa,1314.5,4958.25,58423.23
201,300235,online_payment,35.54,USA,USA,amex,1640.52,3981.88,34697.67
202,125939,purchase,32.11,Canada,Canada,visa,736.31,2822.49,31970.96
203,252906,cash_withdrawal,33.34,Mexico,Mexico,visa,893.19,4950.48,26216.21
204,642335,purchase,1080.61,Canada,Canada,amex,3226.27,8035.21,29660.42
205,388249,purchase,1.0,USA,USA,mastercard,1404.86,2552.26,60803.36
206,175766,online_payment,63.02,Mexico,Mexico,mastercard,1070.37,2166.62,42412.31
207,508923,online_payment,10.74,Canada,Canada,mastercard,1369.69,4553.39,50583.74
208,515192,cash_withdrawal,37.76,Canada,Canada,amex,764.47,3979.38,51723.38
209,668550,online_payment,54.22,Canada,Canada,visa,749.87,4718.35,72147.95
210,487261,cash_withdrawal,68.03,Mexico,Mexico,visa,1128.97,2766.87,75466.84
211,910208,online_payment,23.62,Canada,Canada,amex,783.92,4794.85,87279.71
212,785440,cash_withdrawal,53.4,Mexico,Mexico,mastercard,913.45,1848.44,56245.26
213,752664,purchase,3150.56,Mexico,China,amex,5668.55,7919.32,35985.95
214,554589,online_payment,2590.85,Canada,UK,amex,7192.87,7984.51,35661.61
215,237848,online_payment,31.3,Canada,Canada,visa,464.52,2595.59,67449.23
216,717075,online_payment,49.38,Mexico,Mexico,amex,934.04,1978.76,39993.11
217,227948,cash_withdrawal,39.87,Canada,Canada,mastercard,1473.45,4047.86,45242.15
218,679304,cash_withdrawal,1575.74,Mexico,Australia,mastercard,5755.42,9899.45,47533.75
219,502690,online_payment,14.69,Canada,Canada,mastercard,952.83,4159.86,25199.53
220,599046,online_payment,60.24,USA,USA,mastercard,882.64,1787.0,16070.75
221,551269,cash_withdrawal,44.52,Canada,Canada,visa,969.98,3247.73,39838.05
222,121959,online_payment,80.73,USA,USA,mastercard,1414.55,4206.86,57138.51
223,760890,purchase,107.3,Canada,Canada,mastercard,1352.16,1917.94,56741.84
224,850216,cash_withdrawal,30.01,Mexico,Mexico,amex,893.86,3868.51,51280.1
225,890180,purchase,32.59,USA,USA,amex,1259.58,6212.72,60442.85
226,328576,purchase,86.79,Mexico,Mexico,amex,834.79,4575.03,39527.62
227,637833,cash_withdrawal,74.85,USA,USA,visa,1197.29,3676.25,44422.91
228,265838,cash_withdrawal,9.37,USA,USA,mastercard,916.78,2231.19,92130.31
229,435674,purchase,580.19,Canada,India,amex,472.39,3844.44,40308.22
230,979989,purchase,47.93,Canada,Canada,mastercard,971.26,2100.26,75342.0
231,161087,purchase,1442.33,Mexico,Germany,visa,2329.9,3360.03,34336.73
232,693128,cash_withdrawal,76.07,USA,USA,visa,1283.97,4038.45,62313.63
233,218451,purchase,30.75,Mexico,Mexico,amex,1210.42,3209.26,41603.6
234,547600,cash_withdrawal,63.45,Mexico,Mexico,visa,866.95,3075.13,70514.91
235,937437,cash_withdrawal,44.05,Mexico,Mexico,amex,900.65,4492.94,54948.84
236,539792,purchase,51.65,Mexico,Mexico,mastercard,1209.52,3913.12,66754.69
237,139353,online_payment,64.41,Canada,Canada,visa,1700.43,2835.57,28540.31
238,293075,purchase,11.39,Mexico,Mexico,mastercard,286.73,3687.33,60503.33
239,314283,online_payment,35.99,Canada,Canada,mastercard,735.88,1900.27,49063.58
240,414877,online_payment,55.76,USA,USA,amex,882.72,3843.49,52827.2
241,165318,online_payment,2613.76,USA,Australia,visa,3769.2,7390.97,38338.42
242,865313,cash_withdrawal,71.1,Canada,Canada,amex,313.9,2259.21,12194.77
243,582690,purchase,4.39,USA,USA,visa,5309.41,6692.04,37453.48
244,516880,online_payment,85.48,USA,USA,visa,951.13,3069.22,40493.17
245,691460,cash_withdrawal,48.47,USA,USA,amex,775.02,5709.86,30026.28
246,840976,cash_withdrawal,96.63,Mexico,Mexico,visa,949.32,3797.66,48120.76
247,881239,purchase,49.16,Mexico,Mexico,mastercard,965.58,4125.78,54975.83
248,193264,cash_withdrawal,66.97,USA,USA,visa,1000.83,5984.05,66178.28
249,870746,online_payment,87.08,Canada,Canada,visa,218.33,3439.52,51666.01
250,913168,purchase,6.61,Mexico,Mexico,mastercard,1399.58,5723.42,51202.6
251,325281,purchase,59.11,Canada,Canada,mastercard,630.32,1760.44,62782.89
252,737147,cash_withdrawal,112.64,USA,USA,visa,1025.2,5760.7,38161.3
253,998613,cash_withdrawal,32.8,USA,USA,mastercard,972.43,1688.55,45479.55
254,494070,online_payment,24.48,Canada,Canada,visa,1296.53,5088.23,59903.34
255,452228,purchase,50.58,Mexico,Mexico,visa,1308.16,5886.35,31883.38
256,531839,online_payment,90.87,USA,USA,visa,1583.18,3412.06,48950.34
257,369536,purchase,88.02,USA,USA,mastercard,1030.48,4743.22,52160.46
258,417824,cash_withdrawal,50.45,USA,USA,amex,651.99,2922.35,28199.83
259,357426,purchase,42.76,Mexico,Mexico,visa,991.2,5359.22,52372.75
260,277789,online_payment,81.77,Canada,Canada,visa,1071.16,5204.18,43619.58
261,613153,cash_withdrawal,50.67,USA,USA,mastercard,1048.66,1987.85,48472.02
262,842452,cash_withdrawal,1220.14,Canada,Brazil,amex,5135.47,9429.9,34564.88
263,937291,online_payment,67.94,USA,USA,amex,1435.29,6197.71,48943.53
264,225657,cash_withdrawal,51.92,USA,USA,visa,1181.6,4358.79,43679.0
265,335167,purchase,28.03,USA,USA,visa,1172.74,2332.0,39611.21
266,781669,purchase,77.72,Canada,Canada,visa,984.72,3622.88,46607.37
267,580671,purchase,35.31,Mexico,Mexico,mastercard,978.44,4696.71,69397.88
268,819094,online_payment,32.56,Mexico,Mexico,mastercard,846.56,4086.55,59632.74
269,170467,cash_withdrawal,52.31,Canada,Canada,amex,880.09,4233.49,10000.0
270,283734,purchase,13.88,USA,USA,visa,955.3,4333.5,31025.09
271,722794,purchase,46.53,Mexico,Mexico,amex,677.69,1848.11,44722.69
272,209751,online_payment,60.65,Canada,Canada,amex,729.56,2590.35,69498.78
273,481050,cash_withdrawal,2224.99,USA,USA,mastercard,4367.18,9002.38,42345.88
274,911774,cash_withdrawal,27.53,Canada,Canada,amex,994.23,5350.08,63002.32
275,792517,purchase,28.34,Canada,Canada,visa,1104.7,4167.42,99285.86
276,561079,purchase,67.38,USA,USA,visa,1406.02,5852.73,52806.28
277,468452,cash_withdrawal,35.62,USA,USA,visa,1075.96,5055.91,28561.0
278,206081,online_payment,70.62,USA,USA,amex,1244.86,4038.07,45265.23
279,713333,cash_withdrawal,25.42,USA,USA,mastercard,696.82,5691.08,46184.38
280,658986,online_payment,68.42,Canada,Canada,mastercard,1167.55,2172.06,67528.95
281,210078,online_payment,65.11,Canada,Canada,mastercard,958.39,4169.03,35797.42
282,967055,cash_withdrawal,39.23,USA,USA,mastercard,1190.22,2990.95,56110.96
283,122671,purchase,60.28,Mexico,Mexico,mastercard,1088.76,3549.98,43585.26
284,518400,cash_withdrawal,43.69,USA,USA,visa,1057.28,3993.71,51607.18
285,455528,purchase,42.64,USA,USA,mastercard,656.24,2699.85,51426.74
286,710490,cash_withdrawal,46.05,Canada,Canada,visa,1171.16,1775.06,75787.1
287,151663,purchase,73.56,Canada,Canada,visa,1286.13,3155.9,54750.14
288,115708,purchase,7.12,Mexico,Mexico,amex,897.1,4151.12,38412.37
289,978338,cash_withdrawal,2346.31,USA,UK,amex,2928.8,5644.58,24781.04
290,411955,purchase,77.17,Canada,Canada,amex,861.68,4128.81,45796.48
291,233883,purchase,2638.78,USA,Canada,visa,6038.98,8469.81,27173.91
292,418394,online_payment,54.07,Canada,Canada,amex,1378.57,2969.36,53720.57
293,212547,online_payment,79.54,USA,USA,visa,987.34,4235.85,47873.42
294,659042,online_payment,45.94,Canada,Canada,mastercard,1105.56,4445.68,25629.15
295,851102,purchase,3726.81,Mexico,China,visa,4758.27,8279.53,19213.66
296,862002,purchase,55.93,Canada,Canada,amex,966.59,2020.49,46847.67
297,242483,online_payment,100.75,USA,USA,visa,798.44,4277.48,41211.71
298,758271,online_payment,69.87,Canada,Canada,mastercard,1258.69,5831.1,40134.58
299,314835,purchase,84.32,Mexico,Mexico,mastercard,619.37,5258.82,39980.87
300,501896,purchase,35.96,Mexico,Mexico,mastercard,1420.87,3680.56,44834.55
301,184896,online_payment,3261.16,Canada,Mexico,mastercard,7748.94,11009.75,33057.97
302,577095,cash_withdrawal,2037.67,Canada,Canada,mastercard,3899.43,7551.57,36293.12
303,171295,purchase,74.39,Canada,Canada,visa,1114.05,4492.68,60174.58
304,843974,cash_withdrawal,2272.23,Canada,India,visa,3055.16,4018.26,46274.43
305,987121,cash_withdrawal,40.19,Canada,Canada,mastercard,989.34,3655.92,56514.68
306,373255,online_payment,36.73,USA,USA,mastercard,1185.92,3144.47,46272.82
307,399648,purchase,83.98,USA,USA,amex,694.01,4252.7,52408.43
308,757162,online_payment,64.1,Canada,Canada,mastercard,1484.88,4630.82,30553.88
309,108155,purchase,1958.37,USA,USA,visa,3932.62,6515.84,19169.66
310,566872,online_payment,1.71,USA,USA,visa,949.04,1927.68,55425.77
311,925816,purchase,65.27,USA,USA,amex,196.71,2092.96,38907.59
312,474705,purchase,71.51,Canada,Canada,mastercard,962.48,4859.65,41899.78
313,671542,cash_withdrawal,63.35,Canada,Canada,visa,306.65,1277.44,66810.05
314,908350,cash_withdrawal,68.38,USA,USA,amex,1417.23,5919.56,27339.73
315,710269,purchase,2395.17,Canada,Canada,visa,1184.44,5344.08,15722.49
316,654594,purchase,37.79,USA,USA,mastercard,689.81,2620.95,67569.84
317,247718,purchase,1.12,Canada,Canada,visa,724.72,3030.25,71304.07
318,408987,online_payment,54.68,Mexico,Mexico,amex,900.03,2070.02,40020.46
319,745263,purchase,57.12,USA,USA,amex,1511.21,3985.53,52751.29
320,458745,online_payment,15.03,Canada,Canada,amex,735.18,3392.27,55705.06
321,207512,online_payment,44.91,Mexico,Mexico,mastercard,763.6,4600.13,24561.78
322,247443,purchase,81.3,USA,USA,amex,1404.15,4647.85,59451.4
323,570587,cash_withdrawal,50.28,USA,USA,visa,969.75,3075.16,47044.15
324,473616,cash_withdrawal,62.89,USA,USA,amex,624.99,5583.42,54585.52
325,757409,online_payment,39.27,Mexico,Mexico,visa,1009.94,2839.99,37392.71
326,786976,cash_withdrawal,22.65,Mexico,Mexico,amex,988.11,4706.64,39157.98
327,465871,purchase,94.62,USA,USA,mastercard,1239.93,2878.81,72472.78
328,475037,purchase,78.12,Canada,Canada,mastercard,1343.3,4823.42,49180.93
329,907364,online_payment,1891.53,USA,Brazil,mastercard,7026.38,11626.71,38914.4
330,217796,online_payment,61.1,USA,USA,amex,1144.15,4997.29,56905.17
331,391999,online_payment,45.46,USA,USA,visa,1284.35,2653.34,29254.73
332,292506,online_payment,1.0,Canada,Canada,amex,770.64,4722.97,59688.68
333,798376,cash_withdrawal,10.39,USA,USA,visa,1427.29,4032.28,52380.25
334,369544,purchase,40.1,Mexico,Mexico,amex,1247.02,3422.94,47594.43
335,480002,purchase,1959.77,USA,Brazil,visa,5431.23,7296.54,29583.38
336,798002,online_payment,57.61,Mexico,Mexico,visa,679.97,2888.29,53542.76
